Ring Id,Date,Distance,Revenue 
RING 1,05-04-2022,14.480,5642438
RING 1,05-04-2022,13.141,9183038
RING 1,05-04-2022,4.211,867038
RING 1,05-04-2022,4.084,2038837
RING 1,05-04-2022,1.262,787500
RING 1,05-04-2022,1.702,787500
RING 1,05-04-2022,4.207,1937250
RING 2,05-04-2022,11.400,8550000
RING 2,05-04-2022,1.239,787500
RING 2,05-04-2022,1.719,787500
RING 2,05-04-2022,2.468,1374188
RING 2,05-04-2022,0.746,559500
RING 2,05-04-2022,0.874,655500
RING 2,05-04-2022,3.909,835538
RING 2,05-04-2022,0.405,303750
RING 2,05-04-2022,15.000,8165588
RING 3,05-04-2022,1.000,750000
RING 3,05-04-2022,1.470,874125
RING 3,05-04-2022,1.000,750000
RING 3,05-04-2022,1.025,768750
RING 3,05-04-2022,2.276,1234012
RING 3,05-04-2022,1.559,1169250
RING 3,05-04-2022,16.343,9132638
RING 3,05-04-2022,1.540,1093050
RING 3,05-04-2022,3.308,2481000
RING 4,11-10-2022,16.084,12063000
RING 4,11-10-2022,1.009,756750
RING 4,11-10-2022,7.587,5690250
RING 4,11-10-2022,0.766,574500
RING 4,11-10-2022,4.602,1575000
RING 4,11-10-2022,4.603,3150000
RING 5,11-10-2022,5.633,3583125
RING 5,11-10-2022,7.360,5520000
RING 5,11-10-2022,2.604,954450
RING 5,11-10-2022,4.511,3101962
RING 5,11-10-2022,3.268,2451000
RING 5,11-10-2022,4.404,3303000
RING 5,28-10-2022,6.444,4833000
RING 5,28-10-2022,9.442,7081500
RING 5,28-10-2022,0.718,538500
RING 5,28-10-2022,4.361,3270750
RING 5,28-10-2022,2.292,1719000
RING 5,28-10-2022,15.626,11719500
RING 5,28-10-2022,3.214,2410500
